Symbol [证券代码] - 以上交所、深交所公布的证券代码为准
InstitutionID [上市公司ID] - 国泰安公司标识编码
CrossSymbol [A/B股交叉码] - A股和B股的交叉码，指同时拥有A股和B股的公司的A（B）股对应的B（A）股代码.
StkShortName [证券中文简称] - 以交易所公布的证券中文简称为准
FullName [公司中文全称] - 以公司公布的中文名为准
ShortName [公司中文简称] - 以公司公布的中文简称为准
ENName [公司英文全称] - 以公司公布的英文名为准，部分缺少的暂时以拼音代替
Ownership [公司属性] - 公司属于性质，主要包括私营、中外合资、国有或国有控股等属性
IPODate [首次上市日期] - 以YYYY-MM-DD表示，上市日期为此股票证券代码的上市日期.
DelistedDate [退市日期] - 以YYYY-MM-DD表示，上市日期为此股票证券代码的退市日期.
Board [上市板块] - 该公司股票上市板块
IndustryNameB [行业名称B] - 证监会2012版行业分类标准
IndustryCodeB [行业代码B] - 证监会2012版行业分类标准
IndustryNameA [行业名称A] - SSE行业分类标准
IndustryCodeA [行业代码A] - SSE行业分类标准
RegisterCapital [注册资本] - 股份有限公司的注册资本指实收的股本总额，实收股本总额是指公司股票面值与股份总数的乘积。
BusinessScope [经营范围] - 公司主要经营活动范围
