Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,70,特发信息,深圳市特发信息股份有限公司,"Shenzhen SDG Information Co., Ltd.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,1999/7/29,2000/5/11,2000/5/11,CNY,6.9,7.9,CNY,70000,CNY,2000/3/24,1,2,A,,2017/12/5,,4
10,96,广聚能源,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD.",6,商业,H03,能源、材料和机械电子设备批发业,F51,批发业,1999/2/18,2000/7/24,2000/7/24,CNY,5,6,CNY,85000,CNY,2000/7/10,1,2,A,,2017/12/5,,4
10,99,中信海直,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO., LTD.",2,公用事业,F09,航空运输业,G56,航空运输业,1999/2/11,2000/7/31,2000/7/31,CNY,9.2,10.2,CNY,60000,CNY,2000/7/3,1,2,A,,2017/12/5,,4
10,100,TCL集团,TCL集团股份有限公司,TCL CORPORATION,5,工业,C55,日用电子器具制造业,C39,计算机、通信和其他电子设备制造业,2002/4/19,2004/1/30,2004/1/30,CNY,3.26,4.26,CNY,994396,CNY,2004/1/7,1,2,A,,2017/12/5,,4
10,150,宜华健康,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co.,Ltd.",2,公用事业,K37,卫生、保健、护理服务业,Q83,卫生,1993/2/19,2000/8/7,2000/8/7,CNY,6.68,7.68,CNY,70000,CNY,2000/7/21,1,2,A,,2017/12/5,,4
10,151,中成股份,中成进出口股份有限公司,"China National Complete Plant Import and Export Co., Ltd.",6,商业,H09,其他批发业,F51,批发业,1999/3/1,2000/9/6,2000/9/6,CNY,6.78,7.78,CNY,70000,CNY,2000/8/14,1,2,A,,2017/12/5,,4
10,153,丰原药业,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD.",5,工业,C81,医药制造业,C27,医药制造业,1997/8/30,2000/9/20,2000/9/20,CNY,17.8,18.8,CNY,25000,CNY,2000/9/7,1,2,A,,2017/12/5,,4
10,155,*ST 川化,川化股份有限公司,Sichuan Chemical Company Limited.,5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1997/10/20,2000/9/26,2000/9/26,CNY,5.18,6.18,CNY,130000,CNY,2000/9/8,1,2,A,,2017/12/18,,4
10,156,华数传媒,华数传媒控股股份有限公司,"Wasu Media Holding Co., Ltd.",2,公用事业,L10,广播电影电视业,R86,广播、电视、电影和影视录音制作业,1994/6/30,2000/9/6,2000/9/6,CNY,7.98,8.98,CNY,36000,CNY,2000/8/18,1,2,S,,2006/4/13,,4
10,157,中联重科,中联重科股份有限公司,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD.",5,工业,C73,专用设备制造业,C35,专用设备制造业,1999/8/31,2000/10/12,2000/10/12,CNY,11.74,12.74,CNY,50000,CNY,2000/9/15,1,2,A,,2017/12/5,1157,4
10,158,常山北明,石家庄常山北明科技股份有限公司,Shijiazhuang ChangShan BeiMing Technology Co.，Ltd,5,工业,C11,纺织业,C17,纺织业,1998/12/29,2000/7/24,2000/7/24,CNY,5.18,6.18,CNY,100000,CNY,2000/7/6,1,2,A,,2018/1/11,,4
10,159,国际实业,新疆国际实业股份有限公司,"Xinjiang International Industry Co., Ltd.",6,商业,H03,能源、材料和机械电子设备批发业,F51,批发业,1999/3/28,2000/9/26,2000/9/26,CNY,4.88,5.88,CNY,70000,CNY,2000/9/1,1,2,A,,2017/12/5,,4
10,166,申万宏源,申万宏源集团股份有限公司,"SHENWAN HONGYUAN GROUP CO., LTD",1,金融,I21,证券、期货业,J67,资本市场服务,1996/9/16,2015/1/26,2015/1/26,CNY,3.86,4.86,CNY,8140985,CNY,2015/1/25,1,2,A,,2017/12/5,,4
