prov_name,指标,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),批发和零售贸易餐饮业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),交通运输、仓储和邮电通信业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人)
北京市,2016,25669.13,129.79,4944.44,20594.9,132.2,4026.68,1025.5,2372.89,NA,1060.97,NA,399.35,4270.82,1672.68,10708.04,118198
北京市,2015,23014.59,140.21,4542.64,18331.74,142.6,3710.88,961.86,2352.34,NA,983.87,NA,397.59,3926.28,1438.43,9100.73,106497
北京市,2014,21330.83,158.99,4544.8,16627.04,161.32,3746.77,902.66,2411.14,NA,948.1,NA,363.76,3357.71,1329.2,8110.18,99995
北京市,2013,19800.81,159.64,4292.56,15348.61,161.83,3566.43,831.55,2340.74,NA,871.76,NA,374.75,2943.13,1339.52,7371.1,94648
北京市,2012,17879.4,150.2,4059.27,13669.93,150.2,3294.32,764.95,2229.77,NA,816.31,NA,373.06,2536.91,1244.17,6469.71,87475
北京市,2011,16251.93,136.27,3752.48,12363.18,136.27,3048.79,703.69,2139.65,NA,808.95,NA,348.42,2215.41,1074.93,5775.82,81658
北京市,2010,14113.58,124.36,3388.38,10600.84,124.36,2763.99,624.39,1888.51,NA,712.01,NA,317.34,1863.61,1006.52,4812.85,73856
北京市,2009,12153.03,118.29,2855.55,9179.19,118.29,2303.08,552.47,1525.03,NA,556.64,NA,262.51,1603.63,1062.47,4168.91,66940
北京市,2008,11115,112.83,2626.41,8375.76,112.83,2131.75,494.66,1426.72,NA,498.92,NA,274.43,1519.19,844.59,3811.91,64491
北京市,2007,9846.81,101.26,2509.4,7236.15,101.26,2082.76,426.64,1098.23,NA,497.55,NA,244.96,1302.77,821.5,3271.14,60096
北京市,2006,8117.78,88.8,2191.43,5837.55,88.8,1821.86,369.57,871.96,NA,455.21,NA,218.39,982.37,658.3,2651.32,49505
北京市,2005,6969.52,88.68,2026.51,4854.33,88.68,1707.04,319.47,704.28,NA,403.32,NA,182.3,840.2,493.73,2230.5,45444
北京市,2004,6033.21,87.36,1853.58,4092.27,87.36,1554.73,298.85,587.7,NA,356.78,NA,163.3,713.79,436.11,1834.59,41099
北京市,2003,5007.21,84.11,1487.15,3435.95,84.11,1224.48,262.67,NA,567.09,NA,463.39,NA,635.56,341.88,1428.03,34892
北京市,2002,4315,82.44,1249.99,2982.57,82.44,1021.16,228.83,NA,509.68,NA,408.41,NA,561.91,298.02,1204.55,30840
北京市,2001,3707.96,80.78,1142.35,2484.83,80.78,938.81,203.54,NA,459.11,NA,360.89,NA,487.54,203.55,973.74,26998
北京市,2e3,3161.66,79.25,1033.29,2049.12,79.25,844.01,189.28,NA,406.38,NA,298.67,NA,425.19,144.01,774.87,24122
