year,GDP,VA,M2,各项存款余额,流通中货币,存款余额+货币,与M2比值,银行理财产品,货币基金,股票市值,IPO,增发配股,各项贷款余额,国债发行额,非金融企业债发行额,国债余额,非金融企业债余额,,国债,非金融债,loans,IPO,增发配股,股票市值,Money & Liq,,flow,stock,total,,VA/GDP,,FG/GDP,,VA/FG,,loan/GDP,loan/FG
1978,3650.2,76.5,1277.579439,"1,155.01",212,"1,367.01",,,,,,,"1,890.42",,,,,,,,,,,,,,,1890.42,1890.42,,0.02,,,,,,,
1979,4067.7,75.9,1523.607477,"1,362.56",267.7,"1,630.26",,,,,,,"2,082.47",,,,,,,,,,,,,,,2082.47,2082.47,,0.02,,,,,,,
1980,4551.6,85.7,1902.672897,"1,689.66",346.2,"2,035.86",,,,,,,"2,478.08",,,,,,,,,,,,,,,2478.08,2478.08,,0.02,,,,,,,
1981,4898.1,91.6,2330.364486,"2,097.19",396.3,"2,493.49",,,,,,,"2,853.29",48.66,0,24.33,0,,0.009934464,0,0.582529961,,,,0.475769071,,48.66,2853.29,2901.95,,1.87%,,59.25%,,3.16%,,0.818337723,
1982,5333,130.6,2699.205607,"2,449.05",439.1,"2,888.15",,,,,,,"3,162.70",43.83,0,21.92,0,,0.008218639,0,0.593043315,,,,0.506132685,,43.83,3162.7,3206.53,,2.45%,,60.13%,,4.07%,,0.848539284,
1983,5975.6,168.9,3189.831776,"2,883.32",529.8,"3,413.12",,,,,,,"3,566.56",41.58,0,20.79,0,,0.006958297,0,0.596853872,,,,0.533809454,,41.58,3566.56,3608.14,,2.83%,,60.38%,,4.68%,3.97%,0.879613763,
1984,7226.3,230.5,4231.242991,"3,735.33",792.1,"4,527.43",,,,,,,"4,746.80",42.53,0,21.27,0,,0.005885446,0,0.656878347,,,,0.585533813,,42.53,4746.8,4789.33,,3.19%,,66.28%,,4.81%,4.52%,0.94709464,
1985,9039.9,293.8,"5,198.90","4,559.95",987.8,"5,547.75",1.07,,,,,,"6,198.38",60.61,0,30.31,0,,0.00670472,0,0.685669089,,,,0.575105919,,60.61,6198.38,6258.99,,3.25%,,69.24%,,4.69%,4.73%,0.956584697,
1986,10308.8,401,"6,720.90","5,933.88","1,218.40","7,152.28",1.06,,,,,,"8,142.72",62.51,0,31.26,0,,0.006063751,0,0.78988049,,,,0.651957551,,62.51,8142.72,8205.23,,3.89%,,79.59%,,4.89%,4.80%,1.069575508,
1987,12102.2,506,"8,330.90","7,392.40","1,454.50","8,846.90",1.06,,,,,,"9,814.09",62.87,60,31.44,30,,0.005194923,0.004957776,0.810934376,,,,0.688378972,,122.87,9814.09,9936.96,,4.18%,,82.11%,,5.09%,4.89%,1.119583216,
1988,15101.1,658.6,"10,099.80","8,810.36","2,134.00","10,944.36",1.08,,,,,,"11,964.25",323.88,85.41,161.94,42.705,,0.021447444,0.005655879,0.792276722,,,,0.668812206,,409.29,11964.25,12373.54,,4.36%,,81.94%,,5.32%,5.10%,1.094238168,
1989,17090.3,1079.6,"11,949.60","10,709.57","2,344.00","13,053.57",1.09,,,,,,"14,248.81",114.41,83.2,57.21,41.6,,0.006694441,0.004868259,0.833736681,,,,0.699203642,,197.61,14248.81,14446.42,,6.32%,,84.53%,,7.47%,5.96%,1.180944161,
1990,18774.3,1143.7,"15,293.40","13,942.94","2,644.40","16,587.34",1.08,,,6.24,5.86,,"17,511.02",197.23,126.37,98.62,63.185,,0.010505318,0.00673101,0.932712272,0.000312129,0,0.000332369,0.814592288,,344.11,17532.86,17876.97,,6.09%,,95.22%,,6.40%,6.40%,1.326463304,
1991,21895.5,1194.7,"19,349.90","18,079.00","3,177.80","21,256.80",1.1,,,43.68,2.25,3.73,"21,337.80",281.25,249.96,140.63,124.98,,0.012845105,0.011416044,0.974529013,0.000102761,0.000170355,0.00199493,0.883738668,,552.14,21490.68,22042.82,,5.46%,,100.67%,,5.42%,6.43%,1.376911237,
1992,27068.3,1481.5,"25,402.20","23,468.00","4,336.00","27,804.00",1.09,,,194.89,153.42,0,"26,322.90",460.78,683.71,230.39,341.855,,0.017022864,0.025258697,0.972462253,0.005667885,0,0.007199935,0.938448296,,1681.46,27005.015,28686.475,,5.47%,,105.98%,,5.16%,5.66%,1.368112146,
1993,35524.3,1902.6,"34,879.80","29,627.00","5,864.70","35,491.70",1.02,,,648.7,367.35,1.95,"32,943.10",381.31,235.84,190.66,117.92,,0.010733779,0.006638836,0.927339877,0.010340809,5.48E-05,0.01826074,0.981857489,,1909.686,35213.55,37123.236,,5.36%,,104.50%,,5.13%,5.24%,1.319830088,
1994,48459.6,2556.5,"46,923.50","40,502.50","7,288.60","47,791.10",1.02,,,757.98,182.99,21.87,"39,976.00",1137.55,161.75,568.78,80.875,,0.023474193,0.003337832,0.824934585,0.003776135,0.000451345,0.015641483,0.96830143,,2016.317,42628.93,44645.247,,5.28%,,92.13%,,5.73%,5.34%,1.198008238,
