prov_name,指标,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、燃气及水的生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储及邮电通信业城镇单位就业人员(万人),信息传输、计算机服务和软件业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究、技术服务和地质勘查业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生、社会保障和社会福利业城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理和社会组织城镇单位就业人员(万人)
北京市,2016,791.52,3.69,4.53,86.88,9.09,45.94,58.23,69.22,78.37,29.41,51.42,43.89,80.13,68.98,10.31,8.58,48.63,28.58,18.66,46.98
北京市,2015,777.34,3.89,5.29,92.19,8.23,45.33,60.03,68.01,77.05,29.76,47.16,42.16,80.09,59.35,10.19,9.02,47.32,27.27,18.26,46.73
北京市,2014,755.86,3.23,6.11,100.03,8.2,45.6,60.23,61.11,72.28,30.25,43.16,41.01,70.75,59.8,9.92,8.84,45.8,25.43,17.44,46.65
北京市,2013,742.26,3.13,6.76,103.49,8.72,43.91,59.23,58.24,68.81,30.99,39.14,40.58,66.17,59.65,9.82,9.09,46.1,24.83,18.1,45.48
北京市,2012,717.37,2.54,6.88,107.97,8.94,42.74,57.83,52.63,68.64,31.96,37.56,37.06,61.4,54.05,9.39,8.64,44.38,22.96,17.06,44.73
北京市,2011,685.9,2.36,6.72,107.77,9.02,42.53,57.41,49.09,63.57,29.23,32.87,35.13,58.7,50.57,8.96,7.33,42.6,22.43,16.51,43.09
北京市,2010,646.6,3.2,4.5,100.6,6.8,39.4,51,41.7,55.4,28,27.2,31.5,77.8,45.7,8.8,7.4,40.6,20.7,15.3,41.1
北京市,2009,619.35,3.23,5.03,99.46,6.61,34.11,50.07,36.21,50.16,28.28,25.38,30.15,72.88,43.77,8.77,7.62,41.67,20.14,15.82,39.99
北京市,2008,570.26,2.6,4.55,96.31,6.62,32.76,47.68,33.41,43.64,25.98,22.68,28.83,62.81,40.1,8.12,6.63,39.94,18.68,14.9,34.02
天津市,2016,286.04,0.85,4.4,99.42,4.35,28.18,14.67,4.85,18.21,5.07,16.01,7.96,9.28,11.49,4.42,9.37,17.96,10.1,2.12,17.35
天津市,2015,294.78,0.53,6.5,110.78,4.52,29.54,15.01,4.35,17.85,5.18,12.13,7.34,8.2,11.32,4.13,10.99,17.97,9.71,2.21,16.52
天津市,2014,295.51,0.5,6.64,119,4.46,31.27,14.34,3.85,17.27,5.96,8.91,6.67,6.66,10.69,4.07,11.04,17.37,9.28,2.08,15.44
天津市,2013,302.44,0.53,7.61,122.33,4.49,31.04,14.35,3.57,17.17,6.57,8.09,9.15,5.77,10.75,4.14,10.83,18.94,9.31,2.27,15.54
天津市,2012,289.07,0.55,6.92,120.25,4.37,31.1,14.08,3.27,17.47,6.91,7.82,5.53,5.44,8.27,3.68,10.88,16.3,8.83,1.9,15.5
天津市,2011,268.24,0.6,10.41,112.66,4.21,30.56,11.43,2.08,14.75,6.73,7.72,4.16,6.41,5.34,3.36,6.82,16.46,8.88,1.6,14.08
天津市,2010,205.7,0.7,9,75.3,3.3,10.2,12.5,2.2,12.4,4.8,7,3.6,6.9,6.5,3.5,6.9,16.4,9,1.8,13.7
天津市,2009,201.65,0.74,9.27,72.9,3.34,10.67,12.29,2.48,11.86,4.09,6.68,3.12,7.34,5.91,3.6,7.01,16.56,8.5,1.75,13.57
天津市,2008,200.61,0.71,7.02,72.71,3.55,10.85,12.47,2.53,13.53,3.71,6.17,3.11,7.33,6.38,3.57,6.3,16.79,8.34,1.77,13.75
河北省,2016,639.62,3.89,22.77,136.32,18.79,81.85,28.67,8.42,26.88,5.42,32.17,12.13,12.61,16.35,11.87,2.53,88.1,37.74,5.5,87.59
河北省,2015,643.65,4.17,24.64,140.85,18.71,84.36,29.18,8.85,27.14,5.81,29.91,10.98,13.44,14.81,11.76,1.7,89.07,36.45,5.49,86.33
