prov_name,指标,城镇单位就业人员平均工资(元),农、林、牧、渔业城镇单位就业人员平均工资(元),采矿业城镇单位就业人员平均工资(元),制造业城镇单位就业人员平均工资(元),电力、燃气及水的生产和供应业城镇单位就业人员平均工资(元),建筑业城镇单位就业人员平均工资(元),交通运输、仓储和邮政业城镇单位就业人员平均工资(元),信息传输、计算机服务和软件业城镇单位就业人员平均工资(元),批发和零售业城镇单位就业人员平均工资(元),住宿和餐饮业城镇单位就业人员平均工资(元),金融业城镇单位就业人员平均工资(元),房地产业城镇单位就业人员平均工资(元),租赁和商务服务业城镇单位就业人员平均工资(元),科学研究、技术服务和地质勘查业城镇单位就业人员平均工资(元),水利、环境和公共设施管理业城镇单位就业人员平均工资(元),居民服务和其他服务业城镇单位就业人员平均工资(元),教育城镇单位就业人员平均工资(元),卫生、社会保障和社会福利业城镇单位就业人员平均工资(元),文化、体育和娱乐业城镇单位就业人员平均工资(元),公共管理和社会组织城镇单位就业人员平均工资(元)
北京市,2016,119928,51941,91017,97600,134474,89464,90682,170531,98863,54814,239085,92832,119151,139990,76948,52025,120573,147903,139087,101999
北京市,2015,111390,50797,88360,88934,129350,82251,81695,159486,94542,51955,248320,85247,109031,132339,72666,48613,111417,139176,130134,91030
北京市,2014,102268,49478,90402,80418,112136,77359,78183,148828,91976,48870,225482,79280,106540,124123,64725,45776,99337,125273,121094,76226
北京市,2013,93006,48352,82623,72915,99743,68501,72006,136599,86715,45280,206110,72828,99511,113206,57563,43754,87820,109940,112707,73563
北京市,2012,84742,39334,78381,64235,91768,61579,65986,130154,78945,42016,184612,64295,92736,106604,52647,38838,83566,97480,105785,70280
北京市,2011,75482,34110,74247,56742,83059,52455,59540,116755,70711,37830,172621,57579,83007,97658,47630,34498,74161,82308,92617,66038
北京市,2010,65158,29889,68514,48298,85178,46421,51342,105560,64150,31978,164643,50814,63794,88018,41376,27625,65150,70182,76415,55680
北京市,2009,57779,27020,57031,41595,77875,41981,46087,100794,57948,28759,143187,44256,56647,77632,37183,25006,55420,63081,67881,53529
北京市,2008,55844,26114,60057,39076,72195,37950,45285,96963,57768,28379,135192,42923,58327,71895,37207,24522,52952,60199,65056,57460
北京市,2007,45823,22154,40213,33964,60679,31668,38426,77463,47971,24321,97320,36921,46290,62230,32058,23521,46503,52698,56980,52668
北京市,2006,39684,19147,29887,29619,55727,26538,33687,83394,38446,21698,88408,31180,42522,50853,28427,19428,40856,46495,47028,45682
天津市,2016,86305,68864,94379,73550,125996,67943,91615,137440,75098,43403,117489,84337,83380,128067,82499,41777,115539,115367,111368,110749
天津市,2015,80090,68883,105647,71931,116003,64141,89389,134331,66710,39538,112059,76842,75266,123312,77459,39631,97847,105452,87264,95834
天津市,2014,72773,62672,98238,64864,107275,59019,84736,116902,61764,36138,118263,75052,72255,113548,70314,34200,90983,96200,77689,84998
天津市,2013,67773,55191,82111,63093,101131,54095,82315,102922,56137,33048,118448,67872,63436,102610,62405,30517,80673,86807,67310,76626
天津市,2012,61514,52939,77244,56786,93283,49156,75420,87458,51282,32183,104335,65766,52667,102653,56593,25518,75395,79513,64602,73850
天津市,2011,55658,46948,74009,49023,86265,43161,64805,74804,48772,25290,97006,120379,34266,91848,48688,26054,70240,67192,59627,71673
天津市,2010,51489,40221,59897,42482,82607,53686,55912,73276,44710,22742,89166,47385,28880,80485,44067,23529,66285,60149,54182,67714
天津市,2009,43937,31834,57508,36495,71632,44374,48453,59022,32671,21067,74068,40945,26377,67825,36742,20992,56700,49175,49221,57443
