year,short_rate,long_rate,roll_long_rate
1990,9.36,10.8,
1991,9.025150685,10.22547945,
1992,8.64,9.54,
1993,9.867945205,11.99293151,
1994,10.98,13.86,11.28368219
1995,11.52443836,14.85221918,12.09412603
1996,11.01491803,13.83983607,12.81699735
1997,9.803835616,11.35479452,13.17995625
1998,7.547671233,8.68660274,12.5186905
1999,6.086712329,6.542876712,11.05526584
2000,5.85,6.03,9.290822008
2001,5.85,6.03,7.728854795
2002,5.385452055,5.642876712,6.586471233
2003,5.31,5.58,5.965150685
2004,5.357213115,5.627213115,5.782017965
2005,5.58,5.85,5.746017965
2006,5.863315068,6.16660274,5.773338513
2007,6.717452055,7.074739726,6.059711116
2008,7.172704918,7.471229508,6.437957018
2009,5.31,5.76,6.464514395
2010,5.364109589,5.804273973,6.455369189
2011,6.340136986,6.695287671,6.561106176
2012,6.266994536,6.636338798,6.47342599
2013,6,6.4,6.259180088
2014,5.956164384,6.356164384,6.378412965
2015,4.966438356,5.366438356,6.290845842
2016,4.35,4.75,5.901788308
2017,4.35,4.75,5.524520548
